"ID","Active (0/1)","Name *","Categories (x","y","z...)","Price tax excluded or Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x","y","z...)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No"," 1 = Yes)","Product available date","Product creation date","Show price (0 = No"," 1 = Yes)","Image URLs (x","y","z...)","Delete existing images (0 = No"," 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No"," 1 = Yes)","Condition","Customizable (0 = No"," 1 = Yes)","Uploadable files (0 = No"," 1 = Yes)","Text fields (0 = No"," 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
67,1,Защитная пленка MyScreen FLY IQ4416 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
68,1,Защитная пленка MyScreen FLY IQ4416 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
69,1,Защитная пленка MyScreen FLY IQ4415 Quad Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
70,1,Защитная пленка MyScreen FLY IQ4415 Quad antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
71,1,Защитная пленка MyScreen FLY IQ4415 Quad Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
72,1,Защитная пленка MyScreen FLY IQ436i Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
73,1,Защитная пленка MyScreen FLY IQ436i antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
74,1,Защитная пленка MyScreen FLY IQ434 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
75,1,Защитная пленка MyScreen FLY IQ434 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
76,1,Защитная пленка MyScreen Fly IQ 4601 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
